file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,speaker1,-45.98821179869617,-46.37450541032327,5.4599858890894035,8.129239666873485
F2BJRLP3,0.0,30.7068125,speaker1,-46.53900398892869,-46.87298019542251,4.411674213503482,10.391513997127106
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,speaker1,-43.742816840277776,-53.215096987210785,3.859922375481958,11.443148868500742
F2BJRLP2,0.0,28.6474375,speaker1,-45.52266579406632,-45.75484263821968,3.6220513016373426,8.019643199108776
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,speaker1,-42.92571504237288,-51.5653310922476,2.6995965287692614,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,speaker1,-44.55556338595361,-49.91274897257487,2.5442695888396334,12.358243745435463
